Date,Network,Down,Up,Total
2020-11-14,BGB-BJN Wi-Fi 2.4G,281.3,78.1,359.4
2020-10-24,BGB-BJN Wi-Fi,3.1,1.4,4.5
2020-10-24,ENZNET-Guest,35.8,17.5,53.3
2020-10-30,BGB-BJN Wi-Fi 2.4G,898.7,253.8,1152.5
2020-11-03,BGB-BJN Wi-Fi 2.4G,5571.2,1745.6,7316.8
2020-10-26,BGB-BJN Wi-Fi 2.4G,1059.5,1348.9,2408.4
2020-11-05,BGB-BJN Wi-Fi 2.4G,732.5,671.1,1403.6
2020-10-28,BGB-BJN Wi-Fi 2.4G,1954.5,1431.6,3386.2
2020-10-28,ENZNET-Guest,467.3,206.6,673.9
2020-11-07,ENZNET-Guest,19.6,31.4,51.0
2020-10-23,iPhone,122.5,39.1,161.6
2020-10-23,BGB-BJN Wi-Fi,3233.5,615.2,3848.7
2020-11-09,ENZNET-Guest,318.4,87.5,405.9
2020-11-02,BGB-BJN Wi-Fi 2.4G,4869.4,2061.4,6930.8
2020-10-25,BGB-BJN Wi-Fi 2.4G,101.9,27.0,128.9
2020-10-25,ENZNET-Guest,211.4,53.1,264.5
2020-10-31,BGB-BJN Wi-Fi 2.4G,53.9,15.9,69.9
2020-11-04,iPhone,32.8,10.5,43.3
2020-11-04,Bluetooth PAN,0.8,0.7,1.6
2020-11-04,BGB-BJN Wi-Fi 2.4G,954.2,1037.6,1991.9
2020-10-27,BGB-BJN Wi-Fi 2.4G,2046.2,891.9,2938.1
2020-11-10,BGB-BJN Wi-Fi 2.4G,5436.8,1297.1,6733.9
2020-11-06,BGB-BJN Wi-Fi 2.4G,5900.0,401.5,6301.5
2020-11-06,ENZNET-Guest,4.2,6.5,10.8
2020-10-29,BGB-BJN Wi-Fi 2.4G,945.2,828.2,1773.4
2020-10-29,ENZNET-Guest,879.0,328.1,1207.1
2020-10-22,BGB-BJN Wi-Fi,14248.2,305.0,14553.1
2020-11-08,ENZNET-Guest,20.8,40.2,61.0
2020-11-01,BGB-BJN Wi-Fi 2.4G,19.0,3.4,22.4
2020-11-11,BGB-BJN Wi-Fi 2.4G,1401.2,1714.6,3115.8
2020-11-11,ENZNET-Guest,1.4,1.6,3.0
2020-11-12,BGB-BJN Wi-Fi 2.4G,1120.8,426.8,1547.6
2020-11-13,BGB-BJN Wi-Fi 2.4G,5827.9,941.2,6769.1
2020-11-13,ENZNET-Guest,7720.5,521.6,8242.2